iter	MultiClass
0	0.9763400364
1	0.8833861048
2	0.80004374
3	0.7338577849
4	0.6772994675
5	0.6285111153
6	0.5885874517
7	0.5480683751
8	0.5165930319
9	0.4922877751
10	0.4683537329
11	0.4524643994
12	0.4368036473
13	0.4219929844
14	0.4048622003
15	0.3906468711
16	0.3783045513
17	0.3666255252
18	0.3570702297
19	0.3445563869
20	0.3376524016
21	0.3280086516
22	0.3189838544
23	0.3107867876
24	0.3030839665
25	0.2960114354
26	0.2896255401
27	0.2849821463
28	0.2776842555
29	0.2710357376
30	0.2658935979
31	0.2613838506
32	0.256032809
33	0.2523577729
34	0.2477249908
35	0.2430192321
36	0.2389493946
37	0.2346334389
38	0.2288799886
39	0.2262649802
40	0.2213204465
41	0.2188189049
42	0.213945615
43	0.2118311615
44	0.2085212959
45	0.2053128017
46	0.2024218491
47	0.1997960867
48	0.1961931637
49	0.1934867951
50	0.1904887947
51	0.1884266931
52	0.1860026025
53	0.1837047077
54	0.1804605371
55	0.1788454384
56	0.1745668569
57	0.1722472069
58	0.1700249365
59	0.16763681
60	0.1661702165
61	0.1631612446
62	0.1607107477
63	0.1594147868
64	0.1577664745
65	0.1565544214
66	0.1550447891
67	0.1526831839
68	0.1501806734
69	0.1477233982
70	0.1449373056
71	0.1423926384
72	0.141050483
73	0.1394722645
74	0.136990865
75	0.1360377282
76	0.1353017605
77	0.133196381
78	0.1312041776
79	0.1301314592
80	0.1292265856
81	0.1271928497
82	0.1255101182
83	0.1245620883
84	0.1231927587
85	0.1220365959
86	0.1204188494
87	0.1195195008
88	0.1179309138
89	0.1163610787
90	0.1154775707
91	0.1146028936
92	0.1138467981
93	0.1126356318
94	0.1119080347
95	0.1111664525
96	0.1104292913
97	0.109098056
98	0.1084650154
99	0.1068796776
100	0.1062436065
101	0.1057468327
102	0.1048410329
103	0.1036581092
104	0.1029218396
105	0.1023523043
106	0.1016292966
107	0.1005657015
108	0.09984860752
109	0.09898371965
110	0.09801938917
111	0.09745627168
112	0.09687904059
113	0.09578514389
114	0.09490196843
115	0.09441091948
116	0.09401288299
117	0.09334283453
118	0.09284942558
119	0.09245664302
120	0.09168999109
121	0.09084024735
122	0.09017727533
123	0.08907140356
124	0.08858699779
125	0.08792526093
126	0.08698171744
127	0.08599133219
128	0.08523974021
129	0.0846474403
130	0.08416531673
131	0.08376366738
132	0.08287956562
133	0.08272228515
134	0.08200941914
135	0.08165200334
136	0.08134538128
137	0.08057092001
138	0.08006913493
139	0.07923600926
140	0.07887845933
141	0.07821642771
142	0.07782754096
143	0.07757180338
144	0.07728215806
145	0.07662674825
146	0.07619303101
147	0.07569752783
148	0.07497790263
149	0.07433895317
150	0.07399584349
151	0.07347608126
152	0.07323794421
153	0.07280575498
154	0.07225884444
155	0.07160557381
156	0.07121182949
157	0.07075170256
158	0.07023114697
159	0.06940703225
160	0.06880939372
161	0.06834518573
162	0.06798030262
163	0.06779965125
164	0.06732527595
165	0.06708735354
166	0.06691775408
167	0.06641404767
168	0.06618043492
169	0.06602135292
170	0.065506902
171	0.06462462003
172	0.06397433423
173	0.0636612981
174	0.06334532802
175	0.06263474757
176	0.06227081513
177	0.06182275557
178	0.06141717046
179	0.06124125723
180	0.06086553226
181	0.06064747823
182	0.06025598267
183	0.05960764647
184	0.05930710774
185	0.05909989762
186	0.05900080954
187	0.0586550037
188	0.0582605493
189	0.05812617094
190	0.05783176067
191	0.05722164418
192	0.05709288771
193	0.05695119776
194	0.0568284129
195	0.05655542219
196	0.05622544997
197	0.05592489697
198	0.05584210939
199	0.05566173351
200	0.05539544272
201	0.05497557057
202	0.05467275366
203	0.0544410443
204	0.05391441854
205	0.05361251326
206	0.05329948511
207	0.05282051825
208	0.05271142011
209	0.05257746348
210	0.0523701191
211	0.05225192758
212	0.05200104972
213	0.05176802539
214	0.05141714002
215	0.05117937178
216	0.05090301331
217	0.05068622011
218	0.05037989772
219	0.05028227167
220	0.05004868558
221	0.04973206598
222	0.04964326441
223	0.04953168127
224	0.0492511119
225	0.04916438888
226	0.04878609595
227	0.04849820303
228	0.04815126811
229	0.04795693735
230	0.04756857448
231	0.04747791163
232	0.04717240742
233	0.04692183488
234	0.04679586929
235	0.04643608638
236	0.04584751346
237	0.04552791888
238	0.04525778817
239	0.04488826013
240	0.04468581653
241	0.04450225748
242	0.04439680082
243	0.04431211928
244	0.04410743868
245	0.04381149625
246	0.04359999303
247	0.04344566739
248	0.04317904549
249	0.04297785823
250	0.0429194852
251	0.04273841523
252	0.04266371118
253	0.04236470767
254	0.04199837226
255	0.04183307625
256	0.04157914461
257	0.04127985722
258	0.04121451282
259	0.04112221761
260	0.04072835969
261	0.04068963399
262	0.04064149486
263	0.04042072842
264	0.04023777908
265	0.04004947948
266	0.03974638625
267	0.03947471228
268	0.03922033242
269	0.03906948659
270	0.03889183572
271	0.03870695917
272	0.03846013477
273	0.03833038419
274	0.03816112902
275	0.03797618842
276	0.03791174583
277	0.03772344399
278	0.03761143592
279	0.03745200192
280	0.03727051644
281	0.03707536324
282	0.0369151326
283	0.03680575669
284	0.03667261009
285	0.03652143212
286	0.03643844509
287	0.03638300995
